Id,Navigable,Name,Custom,Searchable,Orderable,Schema_Custom,Schema_System,Schema_Items,Schema_Custom_Id,Schema_Type
"customfield_10059",True,"Work category",True,True,True,"com.atlassian.jira.plugins.work-category-field:work-category-field-cftype",,,10059,"string"
"customfield_10049",True,"Approver groups",True,True,True,"com.atlassian.jira.plugin.system.customfieldtypes:multigrouppicker",,"group",10049,"array"
"aggregatetimeestimate",True,"Σ Remaining Estimate",False,False,False,,"aggregatetimeestimate",,,"number"
"creator",True,"Creator",False,True,False,,"creator",,,"user"
"subtasks",True,"Sub-tasks",False,False,False,,"subtasks","issuelinks",,"array"
"customfield_10040",True,"Request language",True,True,True,"com.atlassian.servicedesk.servicedesk-lingo-integration-plugin:sd-request-language",,,10040,"sd-request-lang"
"reporter",True,"Reporter",False,True,True,,"reporter",,,"user"
"customfield_10043",True,"Issue color",True,True,True,"com.pyxis.greenhopper.jira:jsw-issue-color",,,10043,"string"
"aggregateprogress",True,"Σ Progress",False,False,False,,"aggregateprogress",,,"progress"
"customfield_10045",True,"Flagged",True,True,True,"com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes",,"option",10045,"array"
