Issue_Key,Issue_Id,Fields_Summary,Fields_Priority_Name,Fields_Priority_Id,Fields_Assignee_AccountID,Fields_Project_Key,Fields_Project_Id,Fields_Created,Fields_Status_Name,Fields_Status_Category_Key,Fields_Issue_Type_Id,Fields_Issue_Type_Name,Fields_Reporter_AccountId,Fields_Updated,Fields_Duedate,Fields_Time_Estimate,Fields_Time_Original_Estimate
SD-268,10273,Assist with decomissioning of old K8s environment,3 - Routine,3,5cfd7b160ca4470c59b24077,SD,10000,30/10/2019,Closed,done,10002,Service Request,qm:d764603b-b3b7-4477-8dc8-a5042ab73857:26fde1a3-5a11-4c99-85b5-c3c8e46edf85,09:25.8,,,
SD-267,10272,"Stop SAP ECD, CRD, BID and GWD",3 - Routine,3,5cca25b8ab0c3c0e37e26e80,SD,10000,29/10/2019,Done,done,10007,Sub-task,5cca25b8ab0c3c0e37e26e80,39:12.5,,,
SD-266,10271,"Start SAP ECD, CRD, BID and GWD",3 - Routine,3,5cca25b8ab0c3c0e37e26e80,SD,10000,29/10/2019,Done,done,10007,Sub-task,5cca25b8ab0c3c0e37e26e80,39:12.5,,,
SD-265,10270,"Stop ECD, CRD, BID and GWD Environments",3 - Routine,3,5cca25b8ab0c3c0e37e26e80,SD,10000,29/10/2019,Done,done,10007,Sub-task,5cca25b8ab0c3c0e37e26e80,39:12.3,,,
SD-264,10269,Service Desk Ticket Edited: T20191029.0296 - ETP - Monthly server list required (Livestock Improvement Corporation),3 - Routine,3,5ce772674401890dcab40be3,SD,10000,29/10/2019,Closed,done,10002,Service Request,qm:d764603b-b3b7-4477-8dc8-a5042ab73857:c2d251cf-7ffa-4472-91a3-7047cc7e2d54,57:03.8,,,
SD-263,10268,SAP Dev environments - 30/10,3 - Routine,3,5cca25b8ab0c3c0e37e26e80,SD,10000,29/10/2019,Closed,done,10002,Service Request,qm:d764603b-b3b7-4477-8dc8-a5042ab73857:900bc906-f194-4128-b886-1ac286ac20af,00:07.7,,,
SD-262,10267,"Start ECD, CRD, BID and GWD Environments",3 - Routine,3,5cca25b8ab0c3c0e37e26e80,SD,10000,29/10/2019,Done,done,10007,Sub-task,5cca25b8ab0c3c0e37e26e80,39:10.8,,,
SD-261,10266,Performance improvement options for nxpstepappp01,3 - Routine,3,5cbfd25c3d24270e75a8fa93,SD,10000,24/10/2019,Closed,done,10004,Change,qm:d764603b-b3b7-4477-8dc8-a5042ab73857:900bc906-f194-4128-b886-1ac286ac20af,25:00.3,,,
SD-260,10265,Service Desk Ticket Edited: T20191024.0144 - SPARK PO 4500332289 - Windows Server LIcences for Nutanix Server at Newstead (Livestock Improvement Corporation),3 - Routine,3,5cca25b8ab0c3c0e37e26e80,SD,10000,24/10/2019,Closed,done,10002,Service Request,qm:d764603b-b3b7-4477-8dc8-a5042ab73857:c2d251cf-7ffa-4472-91a3-7047cc7e2d54,11:41.0,,,
SD-259,10264,FW: NXP Dev Environments ,3 - Routine,3,5cca25b8ab0c3c0e37e26e80,SD,10000,24/10/2019,Closed,done,10002,Service Request,qm:d764603b-b3b7-4477-8dc8-a5042ab73857:900bc906-f194-4128-b886-1ac286ac20af,15:04.7,,,
SD-258,10263,Site recovery for NXPSAPAPPP09 not working,3 - Routine,3,5cca25b8ab0c3c0e37e26e80,SD,10000,24/10/2019,Completed,done,10001,Incident,5ce772674401890dcab40be3,39:12.1,,,
