productOrderName,ProductName,meterCategory,serviceFamily,"inVoice Type (Licenses, Reserved Instances, M365)"
"Reserved VM Instance, Standard_F8s_v2, AU East, 3 Years","Reserved VM Instance, Standard_F8s_v2, AU East, 3 Years",Virtual Machines,Compute,
SharePoint (Plan 2),SharePoint (Plan 2),Storage,Office 365 Global,
SharePoint advanced management plan 1,SharePoint advanced management plan 1,Sharepoint,Office 365 Global,
"SQL Managed Instance General Purpose - Compute Gen5, vCore, AU Southeast, 1 Year","SQL Managed Instance General Purpose - Compute Gen5, vCore, AU Southeast, 1 Year",SQL Managed Instance,Databases,
SQL Server Standard 2022- 2 Core License Pack - 1 year,SQL Server Standard 2022- 2 Core License Pack - 1 year,,,
"Storage Reserved Capacity, Hot - 100 TB, GRS, AU East, 3 Years","Storage Reserved Capacity, Hot - 100 TB, GRS, AU East, 3 Years",Storage,Storage,
Visio Plan 2,Visio Plan 2,Visio,Office 365 Global,
Windows 11 Pro Upgrade,Windows 11 Pro Upgrade,,,
Windows Server 2022 Datacenter - 8 Core License Pack 1 Year,Windows Server 2022 Datacenter - 8 Core License Pack 1 Year,,,
Windows Server 2022 Standard - 8 Core License Pack 1 Year,Windows Server 2022 Standard - 8 Core License Pack 1 Year,,,
Windows Server 2022 Standard - 8 Core License Pack 3 Year,Windows Server 2022 Standard - 8 Core License Pack 3 Year,,,
